,Name of Redevelopment Project Area,Date Designated MM/DD/YYYY,Date Terminated MM/DD/YYYY
117,Sanitary and Ship Canal,7/24/1991,12/31/2027
118,South Chicago,4/12/2000,12/31/2024
119,Stevenson Brighton,4/11/2007,12/31/2031
120,Stockyards Southeast Quadrant Industrial,2/26/1992,12/31/2028
121,Stony Island Commercial/Burnside Industrial,6/10/1998,12/31/2034
122,Touhy/Western,9/13/2006,12/31/2030
123,Washington Park,10/8/2014,12/31/2038
124,West Irving Park,1/12/2000,12/31/2024
125,West Woodlawn,5/12/2010,12/31/2034
126,Western Avenue North,1/12/2000,12/31/2024
127,Western Avenue South,1/12/2000,12/31/2024
128,Western/Ogden,2/5/1998,12/31/2022
129,Western/Rock Island,2/8/2006,12/31/2030
130,Wilson Yard,6/27/2001,12/31/2025
131,Woodlawn,1/20/1999,12/31/2023
