tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
Pulaski Industrial Corridor,2025,1999,2035,69,9546231,105976639,0,3000000,9386199,54763249,0.0,115483,175254.0,0,
Randolph/Wells,2025,2010,2034,172,4234863,90563242,0,29632000,248720,19573260,0.0,13070163,264695.0,0,
Red Line Extension,2025,2022,2058,186,22850296,29711447,0,0,75708,29817729,0.0,0,71654.0,0,
River West,2025,2001,2025,104,36390913,424673781,0,0,28222501,0,0.0,88628985,690438.0,0,
Roosevelt/Cicero Industrial Corridor,2025,1998,2034,38,8682744,83647042,0,0,281912,47212846,0.0,716513,128093.0,0,
Roosevelt/Clark,2025,2019,2043,184,5598518,16518087,0,31735714,1444319,84495099,0.0,824387,29866.0,0,
Roosevelt/Racine,2025,1998,2034,62,3417708,42405273,0,32350000,9911141,11712647,0.0,3965907,59061.0,0,
Roseland/Michigan,2025,2002,2026,113,827770,10400135,750000,1469405,386265,1808227,0.0,0,0,0,
Red Purple Modernization Phase One (Transit TIF),2025,2016,2052,180,94504630,485802998,0,0,42191567,55565647,15000000.0,0,1187513.0,0,
Sanitary and Ship Canal,2025,1991,2027,42,3028625,28261867,0,0,615106,7966013,0.0,40786,33349.0,0,
South Chicago,2025,2000,2036,93,1631691,25380534,0,0,20717,10399579,0.0,87713,11290.0,0,
Stevenson Brighton,2025,2007,2031,149,12960139,67266912,0,9300000,12798243,17070544,0.0,0,157757.0,0,
Stockyards Southeast Quadrant Industrial,2025,1992,2028,45,4047306,60929054,0,3675608,1283086,9484254,0.0,962595,51681.0,0,
Stony Island Commercial/Burnside Industrial,2025,1998,2034,54,4901420,73535075,0,0,4198616,14422398,1500000.0,0,76518.0,0,
Touhy/Western,2025,2006,2030,146,1652895,11699124,0,28166552,1172949,4943615,0.0,0,15729.0,703472.21,"Amalgamated Bank, Zions Bank"
Washington Park,2025,2014,2038,178,3813930,15231923,0,6650000,36612,15070022,0.0,0,25706.0,0,
Western/Rock Island,2025,2006,2030,142,3472828,25497218,0,6031115,882438,9861774,0.0,0,24508.0,0,
West Woodlawn,2025,2010,2034,171,2893582,3087545,0,5100000,167878,6011473,0.0,0,0,0,
Wilson Yard,2025,2001,2025,110,13282090,183712308,15000000,47869153,33648028,0,8300000.0,23404171,231790.0,0,
Woodlawn,2025,1999,2035,65,7339430,78973953,0,0,1357659,30056685,0.0,6413034,94397.0,0,
Western/Ogden,2025,1998,2034,48,14071984,202461151,0,0,3983722,62748880,0.0,16659456,283206.0,0,
