tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
Lincoln/Belmont/Ashland ,2017,1994,2018,28,1284164,21739671,0,0,763000,918948,763000,0,0,763000,J P Morgan Chase
Little Village,2017,2007,2031,152,-395,2079430,0,0,6007,1246704,0,0,0,0,
Little Village East,2017,2009,2033,164,-92,464978,0,0,6254,361738,0,0,0,0,
Madden/Wells,2017,2002,2026,126,1101175,10139566,0,1051820,706620,4871528,0,0,19637,0,
Madison/Austin,2017,1999,2023,75,1709122,25219216,4492816,45617897,5750563,10084844,288000,0,30240,5608625,Zions Bank 
Michigan/Cermak,2017,1989,2025,29,1613595,14230528,13810000,707198,310131,7543679,0,102200,26175,0,
Midway,2017,2000,2024,89,10291977,31158847,0,0,452626,13178042,1156208,0,188543,0,
Midwest,2017,2000,2024,95,15613854,176466178,2250000,3754510,12298540,42340635,3493570,0,263855,3889916.67,Zions Bank
Montclare,2017,2000,2024,102,301837,4492482,0,0,185597,611081,0,17900,0,0,
Montrose/Clarendon,2017,2010,2034,173,178392,820117,0,0,6139,804222,0,0,0,0,
Near North,2017,1997,2022,30,29623909,258722741,0,3546644,10140635,66430080,0,1627600,527029,0,
North Branch North,2017,1997,2021,33,4375755,63506779,0,180604,504000,15980620,0,344900,87096,0,
North Branch South,2017,1998,2021,34,7922373,89251552,0,2500000,932321,32624261,0,488000,0,0,
North Pullman,2017,2009,2033,166,776261,4121215,233186,15733186,1059825,1770487,0,0,17954,0,
North/Cicero,2017,1997,2020,35,1432658,17471103,0,0,58879,5294020,0,124000,24156,0,
Northwest,2017,1998,2022,64,6443947,86778375,793,521583,1017639,21897487,3979464,0,118729,0,
Ogden/Pulaski,2017,2008,2032,161,-27612,7642294,1000000,1000000,1038116,4127976,0,0,0,0,
Ohio/Wabash,2017,2000,2024,100,1812871,20304058,0,0,1683599,1818379,0,0,0,0,
Pershing/King,2017,2007,2031,154,0,445664,0,7025826,3951,167414,0,0,0,0,
Peterson/Cicero,2017,2000,2024,90,471894,4658587,0,0,120744,2785038,0,195000,14042,0,
Peterson/Pulaski,2017,2000,2024,91,1107221,12295158,0,0,20409,6973801,0,697000,20409,0,
Pilsen,2017,1998,2022,53,12643045,146276945,0,0,8778911,42165252,0,1209000,223467,4588585.71,Amalgamated Bank  
Portage Park,2017,1998,2021,58,1934568,34645008,0,0,3316017,9736630,1900000,114000,33224,0,
Pratt/Ridge ,2017,2004,2028,135,346404,2323201,0,0,8467,1374118,0,0,0,0,
Pulaski,2017,1999,2023,69,3352064,41042201,0,3000000,114312,11913610,728076,0,57972,0,
Randolph/Wells,2017,2010,2034,172,484830,1736569,0,29632000,468811,705098,0,0,0,0,
Ravenswood ,2017,2005,2029,139,1457769,10102082,0,500000,283624,1819872,0,5500000,25501,0,
Read/Dunning,2017,1991,2027,36,2561525,49119201,0,1811000,1170385,6300088,0,7000000,46701,,
Red/Purple Line,2017,2016,2052,180,8333898,8333898,,,118875,8154208,,,114411,,
River South ,2017,1997,2020,37,25855083,203583599,0,51373006,26595715,43805392,4310000,0,460023,0,
River West,2017,2001,2025,104,16640646,159388887,0,0,2785130,62657054,0,11000000,304402,0,
Roosevelt/Cicero,2017,1998,2021,38,2455219,32854779,0,0,389000,11017522,1288000,848000,49221,0,
Roosevelt/Racine,2017,1998,2034,62,1704001,17742163,0,0,930526,6356471,,114600,30230,0,
Roosevelt/Union,2017,1999,2022,68,5596706,55376825,0,0,97302,7214424,0,0,89957,0,
Roseland/Michigan,2017,2002,2026,113,341769,6564963,0,0,9199,1306060,233186,0,0,0,
Sanitary and Ship Canal,2017,1991,2027,42,574606,15167334,0,0,13976,1577509,0,0,10419,0,
South Chicago,2017,2000,2024,93,1173058,15787467,0,0,475938,6928209,0,167000,20640,0,
South Works,2017,1999,2023,78,51664,1461963,0,0,3465,1247213,0,2800,0,0,
Stevenson/Brighton,2017,2007,2031,149,1872409,8566019,0,2000000,4542954,1841312,0,0,37957,0,
Stockyards Annex,2017,1996,2020,43,1229762,24703658,0,525000,476961,6269833,0,608000,23127,0,
Stockyards Southeast,2017,1992,2016,45,1423433,38492030,0,3675608,91648,5206127,0,1147000,25740,0,
Stony Island/Burnside,2017,1998,2034,54,3116385,38046249,0,0,558762,7482713,1823236,0,55123,0,
Touhy/Western,2017,2006,2030,146,321536,4162465,1940921,16038151,2400792,3740348,0,0,0,683351.04,Zions Bank
Washington Park,2017,2014,2038,178,401366,526174,300000,300000,8915,805093,0,0,0,0,
Weed/Fremont,2017,2008,2032,158,818305,4082325,0,0,665251,1259517,0,0,0,0,
West Irving Park,2017,2000,2024,83,808878,13247405,0,2000000,661872,3996327,0,830000,14650,0,
West Woodlawn,2017,2010,2034,171,111,97362,0,1500000,189919,301671,0,0,0,0,
Western Avenue North ,2017,2000,2024,84,7111942,68467779,0,2000000,7062751,11720264,1758015,0,126301,0,
Western Avenue South ,2017,2006,2030,85,7179132,81892646,0,0,4248491,19789168,0,3945200,127744,0,
Western/Ogden,2017,1998,2021,48,6651437,93185720,0,0,4179947,31488952,2250000,1349000,143661,0,
Western/Rock Island,2017,2006,2030,142,663934,11855235,1500000,3200000,2486571,1021852,0,0,10887,0,
Wilson Yard ,2017,2001,2025,110,7260291,88023230,0,0,6705975,14658938,0,0,126568,0,
Woodlawn,2017,1999,2022,65,3028018,37807232,0,0,1007794,12721596,1851069,0,0,6482763.7,Amalgamated Bank  
