tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
LawrenceBroadway,2016,2001,2025,109,3457485,38547365,0,0,365827,15231973,575824,0,61248,0,
LawrenceKedzie,2016,2000,2024,88,5827348,84625242,0,2500000,4665161,15756146,0,0,111819,3678417,"Wells Fargo Bank, Zions Bank"
LawrencePulaski,2016,2002,2026,116,1325061,15842356,0,2900000,471735,6174641,0,0,23059,0,
LincolnAvenue,2016,1999,2023,77,2934946,35486742,831913,11010715,3761572,8715967,0,0,50745,2645083,"Wells Fargo Bank, Zions Bank"
LincolnBelmontAshland,2016,1994,2018,28,1473308,20455507,0,0,2164000,404016,0,0,0,2164000,J P Morgan Chase
LittleVillage,2016,2007,2031,152,-3265,2079825,0,0,13030,1233050,0,0,0,0,
LittleVillageEast,2016,2009,2033,164,120,465070,0,0,8824,361888,0,0,0,0,
MaddenWells,2016,2002,2026,126,1249909,9038391,0,1051820,166753,4415861,0,0,21689,0,
MadisonAustin,2016,1999,2023,75,1903307,23510094,4493782,41125081,6173978,9709698,2037341,0,35155,4925166,"Wells Fargo Bank, Zions Bank"
MichiganCermak,2016,1989,2025,29,1660088,12616933,0,13810000,1524481,6256586,0,0,29581,0,
Midway,2016,2000,2024,89,4815619,20866870,0,0,865354,4515726,4276201,0,65891,0,
Midwest,2016,2000,2036,95,14491670,160852324,520790,1504510,12817862,39629012,3517723,0,295735,2726501,"Wells Fargo Bank, Zions Bank"
Montclare,2016,2000,2024,102,273746,4190645,0,0,167721,506020,0,0,0,0,
MontroseClarendon,2016,2010,2034,173,121641,641725,0,0,6855,623819,0,0,0,0,
NearNorth,2016,1997,2020,30,27069215,229098832,0,3546644,46222787,47996642,0,0,506530,22306580,Amalgamated Bank
NorthBranchNorth,2016,1997,2021,33,6626203,59131024,0,180604,1038849,12309036,0,0,102123,0,
NorthBranchSouth,2016,1998,2021,34,8787410,81329179,0,2500000,1143049,25791728,0,0,147250,0,
NorthCicero,2016,1997,2020,35,1476628,16038445,0,0,41481,3991339,235000,13000,27498,0,
NorthPullman,2016,2009,2033,166,1296036,3344954,1050000,15500000,2077062,1795581,0,0,19433,0,
Northwest,2016,1998,2022,64,7233527,80334428,520790,520790,2084450,20140958,4273220,0,125645,0,
OgdenPulaski,2016,2008,2032,161,-18447,7669906,0,0,1002589,3363722,0,0,0,0,
OhioWabash,2016,2000,2024,100,1677997,18491187,0,0,1525902,1671287,0,0,0,0,
PershingKing,2016,2007,2031,154,0,445664,0,7025826,5357,168695,0,0,0,0,
PetersonCicero,2016,2000,2024,90,409172,4186693,0,0,210586,2590759,0,105000,0,0,
PetersonPulaski,2016,2000,2024,91,991672,11187937,0,0,146583,5830961,0,5000,16967,0,
Pilsen,2016,1998,2022,53,12597360,133633900,0,0,15954601,39071984,0,1933000,233374,4340090,Amalgamated Bank
PortagePark,2016,1998,2021,58,1847698,32710440,0,0,2386437,12887412,0,395000,33745,0,
PrattRidge,2016,2004,2028,135,262742,1976797,0,0,8084,1022346,0,0,0,0,
Pulaski,2016,1999,2023,69,3153078,37690137,3000000,3000000,4997253,9285101,913874,0,54333,0,
RandolphWells,2016,2010,2034,172,449577,1251739,0,29632000,360091,679744,0,0,0,0,
Ravenswood,2016,2005,2029,139,1349354,8644313,0,500000,453572,6041692,0,92000,24227,0,
ReadDunning,2016,1991,2027,36,2903308,46557676,0,1811000,4592284,11681045,0,992000,49175,0,
RiverSouth,2016,1997,2020,37,24245090,177728516,0,51373006,3406762,48195486,11310000,0,442949,0,
RiverWest,2016,2001,2025,104,18823186,142748241,0,0,4015795,58983767,0,10000000,348797,0,
RooseveltCicero,2016,1998,2021,38,2798169,30399560,0,0,544102,10930162,995762,1369000,44136,0,
RooseveltRacine,2016,1998,2034,62,1714988,16038162,0,0,1629797,5624280,0,220000,30499,0,
RooseveltUnion,2016,1999,2022,68,5100764,49780119,0,0,8540931,1652260,0,0,94693,0,
RoselandMichigan,2016,2002,2026,113,387228,6223194,0,0,10001,1192152,500000,0,0,0,
RPMPhaseOneProject,2016,2016,2052,180,0,0,0,0,0,0,0,0,0,0,
SanitaryDrainageShipCanal,2016,1991,2027,42,484166,14592128,0,0,14111,1007571,1000000,0,10360,0,
SouthChicago,2016,2000,2024,93,1170969,14614409,0,0,215120,6313933,2500000,581000,21964,0,
SouthWorks,2016,1999,2023,78,37637,1410299,0,0,3377,1183855,0,0,0,0,
StevensonBrighton,2016,2007,2031,149,2639732,6693610,2000000,2000000,3228317,4365614,0,0,40944,0,
StockyardsAnnex,2016,1996,2020,43,1445388,23473896,0,525000,2381541,6028613,0,0,24712,0,
StockyardsSEQuadrant,2016,1992,2028,45,1653824,37068597,0,3675608,987725,4953358,0,370000,28098,0,
StonyIslandBurnside,2016,1998,2034,54,3035985,34929864,0,0,556744,6617295,1823173,0,56085,0,
TouhyWestern,2016,2006,2030,146,198146,3840929,1907049,14097230,2141408,3720196,0,0,0,2115968,"Amalgamated Bank, Wells Fargo Bank, Zions Bank"
WashingtonPark,2016,2014,2038,178,93678,124808,0,0,5157,115759,0,0,0,0,
WeedFremont,2016,2008,2032,158,818991,3264020,0,0,433675,1097222,0,0,13476,0,
WesternNorth,2016,2000,2024,84,7241338,61355837,0,2000000,5174952,13175941,3896743,0,132048,0,
WesternOgden,2016,1998,2021,48,10362400,86534283,0,0,2700110,32173968,0,704000,152871,0,
WesternRockIsland,2016,2006,2030,142,461589,11191301,1700000,1700000,4312502,1320019,0,0,0,0,
WesternSouth,2016,2000,2024,85,7665490,74713514,0,0,1254248,20474400,0,0,137484,0,
WestIrvingPark,2016,2000,2024,83,817604,12438527,0,2000000,1228959,4598342,0,0,15026,0,
WestWoodlawn,2016,2010,2034,171,-4276,97251,0,1500000,187959,483021,0,0,0,0,
WilsonYard,2016,2001,2025,110,7196194,80762939,0,0,6769924,13921937,0,0,131851,0,
Woodlawn,2016,1999,2022,65,2987098,34779214,0,0,377712,12360533,1426041,0,54252,0,
