tif_name,tif_number,2020_property_tax_extrction,cumulative_property_tax_extraction,2020_transfers_in,cumulative_transfers_in,2020_expenses,fund_balance_end_2020,2020_transfers_out,2020_distribution,admin_costs,finance_costs,bank
South Chicago,93,1268261,19748780,0,0,2687787,6615686,0,0,22572,0,
Stevenson Brighton,149,4848545,21867839,2500000,9300000,3205738,11265484,0,0,64559,0,
Stockyards Annex,43,2492925,31075226,0,525000,4423650,0,0,7018301,35634,0,
Stockyards Southeast Quadrant Industrial,45,2219030,44207524,0,3675608,799474,8717462,0,0,33330,0,
Stony Island Commercial/Burnside Industrial,54,3625074,49711189,0,0,2322128,7743462,1500000,0,78180,0,
Touhy/Western,146,506198,5629029,3713311,23826039,9583673,2082210,0,0,67879,9427919,"Zions Bank, Amalgamated Bank of Chicago"
Washington Park,178,1338785,4005260,0,6650000,518862,3982788,0,0,19957,0,
West Irving Park,83,1397400,17285389,0,2500000,39269,5146428,0,97000,25884,0,
West Woodlawn,171,-41,96730,0,2300000,20654,999940,0,0,19941,0,
Western Avenue North,84,9886608,96313548,0,2250000,854638,18214957,2900000,3613000,152793,0,
Western Avenue South,85,11144073,111938106,0,250000,1803631,38969127,0,3495000,195363,0,
Western/Ogden,48,11737673,125336809,0,0,2029771,26969735,0,8274000,150868,0,
Western/Rock Island,142,1434037,15711675,0,6031115,135773,3313247,0,0,45773,0,
Wilson Yard,110,10600779,116657727,20473465,20473465,22788042,16866247,7903434,0,136340,0,
Woodlawn,65,4203405,49215776,0,0,382695,15617384,0,0,56191,0,
